id,fund_manager,fund,fund_all_names,fund_tickers_sec,classes,e_vote,s_vote,g_vote,e_support,s_support,g_support,e_support_total,s_support_total,g_support_total,fund_is_esg
301,1,Vanguard Total International Stock Index Fund,['Vanguard Total International Stock Index Fund'],"['VGTSX', 'VTSNX', 'VTIAX', 'VXUS', 'VTPSX', 'VTSGX', 'VTISX']","['Investor Shares' 'Admiral Shares' 'Institutional Select Shares'
 'Institutional Plus Shares' 'Institutional Shares' 'ETF Shares']",187,160,210,19.51871658,8.4375,14.04761905,36.5,13.5,29.5,0
302,2,State Street Small-Cap Equity V.I.S. Fund,"['Small-Cap Equity Fund', 'State Street Small-Cap Equity V.I.S. Fund']","['GESQX', 'GESEX', 'SSSEX']",['Class 4 Shares' 'Class 1 Shares'],3,2,15,33.33333333,50,80,1,1,12,0
303,2,State Street Total Return V.I.S. Fund,"['Total Return Fund', 'State Street Total Return V.I.S. Fund']","['GETRX', 'GETTX', 'GETIX', 'SSTIX', 'SSTTX']",['Class 1 Shares' 'Class 2 Shares' 'Class 3 Shares'],220,411,528,8.863636364,6.569343066,30.11363636,19.5,27,159,0
304,2,State Street Real Estate Securities V.I.S. Fund,"['Real Estate Securities Fund', 'State Street Real Estate Securities V.I.S. Fund']","['GEREX', 'GEIRX', 'SSRSX']",['Class 4 Shares' 'Class 1 Shares'],2,1,10,100,100,80,2,1,8,0
305,2,State Street U.S. Equity V.I.S. Fund,"['U.S. Equity Fund', 'State Street U.S. Equity V.I.S. Fund']","['GEUSX', 'SSUSX']",['Class 1 Shares' 'Class 4 Shares'],52,176,190,7.692307692,6.534090909,22.63157895,4,11.5,43,0
306,2,State Street Core Value Equity V.I.S. Fund,"['Core Value Equity Fund', 'State Street Core Value Equity V.I.S. Fund']","['GEVEX', 'GEVQX', 'SSVEX']",['Class 1 Shares' 'Class 4 Shares'],37,108,129,0,0,22.48062016,0,0,29,0
307,2,State Street Premier Growth Equity V.I.S. Fund,"['Premier Growth Equity Fund', 'State Street Premier Growth Equity V.I.S. Fund']","['GEPGX', 'SPGSX']",Class 1 Shares,7,32,23,0,0,39.13043478,0,0,9,0
308,2,State Street S&P 500 Index V.I.S. Fund,"['S&P 500 Index Fund', 'State Street S&P 500 Index V.I.S. Fund']","['GESPX', 'SSSPX']",Class 1 Shares,113,310,476,21.68141593,17.41935484,31.09243697,24.5,54,148,0
309,1,Vanguard PRIMECAP Fund,['Vanguard PRIMECAP Fund'],"['VPMAX', 'VPMCX']",['Admiral Shares' 'Investor Shares'],49,163,227,31.63265306,25.4601227,12.7753304,15.5,41.5,29,0
310,1,Vanguard Institutional Target Retirement 2045 Fund,['Vanguard Institutional Target Retirement 2045 Fund'],['VITLX'],Institutional Shares,0,2,0,,0,,0,0,0,0
312,0,BlackRock Natural Resources Trust,['BLACKROCK NATURAL RESOURCES TRUST'],['MDGRX'],['Investor A' 'Investor B' 'Investor C' 'Institutional'],123,148,104,3.25203252,3.378378378,32.69230769,4,5,34,0
313,0,BlackRock Eurofund,['BLACKROCK EUROFUND'],['MAEFX'],['Class K' 'Class R' 'Institutional' 'Investor A' 'Investor C'],0,1,0,,0,,0,0,0,0
314,1,Vanguard Growth and Income Fund,['Vanguard Growth and Income Fund'],"['VQNPX', 'VGIAX']",['Investor Shares' 'Admiral Shares'],156,396,474,17.62820513,12.5,14.02953586,27.5,49.5,66.5,0
315,1,Vanguard Structured Broad Market,['Vanguard Structured Broad Market'],"['VSBMX', 'VSBPX']",['Institutional Shares' 'Institutional Plus Shares'],104,274,316,17.78846154,20.0729927,12.34177215,18.5,55,39,0
316,0,BlackRock Equity Dividend Fund,['BLACKROCK EQUITY DIVIDEND FUND'],['MADVX'],"['Service' 'Investor A' 'Investor B' 'Investor C' 'Investor C1'
 'Institutional' 'Class R']",204,455,529,1.960784314,2.197802198,24.00756144,4,10,127,0
317,1,Vanguard Equity Income Fund,['Vanguard Equity Income Fund'],"['VEIPX', 'VEIRX']",['Investor Shares' 'Admiral Shares'],108,236,313,30.09259259,30.72033898,7.348242812,32.5,72.5,23,0
318,1,Vanguard PRIMECAP Core Fund,['Vanguard PRIMECAP Core Fund'],['VPCCX'],Investor Shares,39,198,195,8.974358974,10.1010101,12.30769231,3.5,20,24,0
319,2,SSGA Core Opportunities Fund,['SSgA Core Opportunities Fund'],"['SSGWX', 'SCPRX']",['Institutional' 'Class R'],0,4,3,,25,0,0,1,0,0
320,2,State Street International Stock Selection Fund,"['SSgA International Stock Selection Fund', 'SSGA International Stock Selection Fund', 'State Street International Stock Selection Fund']","['SSAIX', 'SSARX', 'SSILX', 'SSIOX', 'SSIPX', 'SSIQX']",['Class N' 'Class R' 'Class A' 'Class C' 'Class I' 'Class K'],8,8,19,12.5,0,15.78947368,1,0,3,0
321,2,SSGA Clarion Real Estate Fund,"['SSgA Tuckerman Active REIT Fund', 'SSgA Clarion Real Estate Fund', 'SSGA Clarion Real Estate Fund']","['SSREX', 'SSRVX', 'SSRWX', 'SSRYX', 'SSRZX']",Institutional,6,0,29,41.66666667,,41.37931034,2.5,0,12,0
322,2,SSGA Aggressive Equity Fund,['SSgA Aggressive Equity Fund'],"['SSAEX', 'SAERX']",['Institutional' 'Class R'],0,2,0,,0,,0,0,0,0
323,2,SSGA IAM SHARES Fund,['SSgA IAM SHARES Fund'],['SIAMX'],Institutional,228,509,687,86.40350877,83.10412574,89.37409025,197,423,614,0
324,2,SSGA Concentrated Growth Opportunities,['SSgA Concentrated Growth Opportunities'],['SSLOX'],Institutional,0,2,0,,50,,0,1,0,0
325,2,SSGA Directional Core Equity Fund,['SSgA Directional Core Equity Fund'],['SDCQX'],Institutional,63,142,171,23.01587302,22.53521127,15.78947368,14.5,32,27,0
326,2,SSGA Enhanced Small Cap Fund,"['SSgA Enhanced Small Cap Fund', 'SSGA Enhanced Small Cap Fund']","['SESPX', 'SSESX', 'SSEUX', 'SSEVX', 'SSEWX']",Institutional,35,26,122,57.14285714,44.23076923,66.39344262,20,11.5,81,0
327,2,SSGA Disciplined Equity Fund,['SSgA Disciplined Equity Fund'],['SSMTX'],Institutional,117,278,384,22.22222222,19.78417266,16.92708333,26,55,65,0
328,2,State Street Dynamic Small Cap Fund,"['SSgA Small Cap Fund', 'SSgA Dynamic Small Cap Fund', 'SSGA Dynamic Small Cap Fund', 'State Street Dynamic Small Cap Fund']","['SVSCX', 'SSCRX', 'SSSDX', 'SSSHX', 'SSSJX', 'SSSKX']",['Class A' 'Class C' 'Class I' 'Class K' 'Class N'],16,16,59,46.875,71.875,58.47457627,7.5,11.5,34.5,0
330,2,SSGA Core Edge Equity Fund,['SSgA Core Edge Equity Fund'],['SSCSX'],SSgA Core Edge Equity Fund,26,82,137,26.92307692,20.73170732,14.59854015,7,17,20,0
331,0,BlackRock Global Allocation Fund,"['BLACKROCK GLOBAL ALLOCATION FUND, INC.']",['MALOX'],['Investor A' 'Investor B' 'Investor C' 'Institutional' 'Class R'],288,725,862,3.125,1.793103448,27.03016241,9,13,233,0
332,0,BlackRock Strategic Global Bond Fund,"['BLACKROCK WORLD INCOME FUND, INC.', 'BlackRock Strategic Global Bond Fund, Inc.']",['MAWIX'],['Class K' 'Institutional' 'Investor A' 'Investor C' 'Investor C1'],0,6,8,,0,0,0,0,0,0
333,1,Vanguard Asset Allocation Fund,['Vanguard Asset Allocation Fund'],"['VAAPX', 'VAARX']",['Investor Shares' 'Admiral Shares'],62,138,211,47.58064516,45.28985507,14.4549763,29.5,62.5,30.5,0
334,1,Vanguard Capital Value Fund,['Vanguard Capital Value Fund'],['VCVLX'],Investor Shares,6,48,61,0,18.75,11.47540984,0,9,7,0
335,1,Vanguard U.S. Value Fund,['Vanguard U.S. Value Fund'],['VUVLX'],Investor Shares,89,187,207,19.66292135,22.19251337,11.352657,17.5,41.5,23.5,0
336,0,BlackRock Mid Cap Growth Equity Portfolio,['BLACKROCK MID CAP GROWTH EQUITY PORTFOLIO'],"['BMRRX', 'BMGCX', 'CMGIX', 'CMGSX', 'BMGAX', 'BMGBX']","['R Shares' 'INVESTOR C' 'INSTITUTIONAL' 'SERVICE' 'INVESTOR A'
 'INVESTOR B']",22,22,50,4.545454545,4.545454545,64,1,1,32,0
337,0,BlackRock Small Cap Value Equity Portfolio,['BLACKROCK SMALL CAP VALUE EQUITY PORTFOLIO'],"['PNSEX', 'PSESX', 'PSEIX', 'CCVBX', 'BSCCX', 'BSEBX']","['INSTITUTIONAL' 'SERVICE' 'INVESTOR A' 'R Shares' 'INVESTOR B'
 'INVESTOR C' 'BLACKROCK']",3,2,7,66.66666667,0,71.42857143,2,0,5,0
338,0,BlackRock Advantage Small Cap Growth Fund,"['BLACKROCK SMALL CAP GROWTH EQUITY PORTFOLIO', 'BLACKROCK ADVANTAGE SMALL CAP GROWTH FUND']","['PSGIX', 'PCGEX', 'CSGEX', 'CSGBX', 'CGICX']",['Class K' 'R Shares' 'INVESTOR C' 'INVESTOR A' 'SERVICE' 'INSTITUTIONAL'],11,10,39,0,0,79.48717949,0,0,31,0
339,0,BlackRock Small Cap Core Equity,['BLACKROCK SMALL CAP CORE EQUITY'],"['BSQCX', 'BSQIX', 'BSQSX', 'BSQAX', 'BSQBX']","['INVESTOR C' 'R Shares' 'INSTITUTIONAL' 'SERVICE' 'INVESTOR A'
 'INVESTOR B']",1,2,8,100,0,62.5,1,0,5,0
340,0,BlackRock High Equity Income Fund,"['BLACKROCK U.S. OPPORTUNITIES EQUITY PORTFOLIO', 'BLACKROCK U.S. OPPORTUNITIES PORTFOLIO', 'BLACKROCK HIGH EQUITY INCOME FUND']","['BMCIX', 'BMCSX', 'BMEAX', 'BRMBX', 'BMECX']","['R Shares' 'INSTITUTIONAL' 'SERVICE' 'INVESTOR A' 'INVESTOR C'
 'INVESTOR B']",42,69,203,7.142857143,2.898550725,38.42364532,3,2,78,0
341,0,BlackRock Technology Opportunities Fund,"['BLACKROCK GLOBAL SCIENCE & TECHNOLOGY OPPORTUNITIES PORTFOLIO', 'BLACKROCK SCIENCE & TECHNOLOGY OPPORTUNITIES PORTFOLIO', 'BlackRock Technology Opportunities Fund']","['BGSIX', 'BSTSX', 'BGSAX', 'BGSBX', 'BGSCX']","['INSTITUTIONAL' 'SERVICE' 'INVESTOR A' 'INVESTOR B' 'INVESTOR C'
 'R Shares']",50,163,197,2,4.294478528,52.79187817,1,7,104,0
342,0,BlackRock International Dividend Fund,"['INTERNATIONAL OPPORTUNITIES EQUITY PORTFOLIO', 'INTERNATIONAL OPPORTUNITIES PORTFOLIO', 'BLACKROCK INTERNATIONAL OPPORTUNITIES PORTFOLIO', 'BLACKROCK INTERNATIONAL DIVIDEND FUND']","['BISIX', 'BRESX', 'BREAX', 'BREBX', 'BRECX']","['Class K' 'R Shares' 'INSTITUTIONAL' 'INVESTOR A' 'INVESTOR B'
 'INVESTOR C' 'SERVICE']",5,8,24,20,0,29.16666667,1,0,7,0
343,0,BlackRock All-Cap Energy & Resources Portfolio,['BLACKROCK ALL-CAP ENERGY & RESOURCES PORTFOLIO'],"['BACAX', 'BACBX', 'BACCX', 'BACIX', 'BACSX']","['R Shares' 'INVESTOR A' 'INVESTOR B' 'INVESTOR C' 'BLACKROCK'
 'INSTITUTIONAL' 'SERVICE']",122,109,86,4.918032787,3.669724771,34.88372093,6,4,30,0
344,0,BlackRock Tactical Opportunities Fund,"['BLACKROCK ASSET ALLOCATION', 'BLACKROCK MANAGED VOLATILITY PORTFOLIO', 'BLACKROCK TACTICAL OPPORTUNITIES FUND']","['PBAIX', 'PCBSX', 'PCBAX', 'CBIBX', 'BRBCX']","['Class K Shares' 'R Shares' 'INVESTOR C' 'INVESTOR B' 'INSTITUTIONAL'
 'INVESTOR A' 'SERVICE']",236,505,676,3.389830508,2.376237624,35.20710059,8,12,238,0
345,0,BlackRock Advantage Large Cap Growth Fund,"['BLACKROCK MID CAP VALUE', 'BLACKROCK FLEXIBLE EQUITY FUND', 'BLACKROCK ADVANTAGE LARGE CAP GROWTH FUND']","['CMVIX', 'CMVSX', 'BMCAX', 'BMCVX', 'BMCCX']","['Class K' 'R Shares' 'INVESTOR A' 'INVESTOR C' 'INVESTOR B'
 'INSTITUTIONAL' 'SERVICE']",53,171,211,5.660377358,1.169590643,35.07109005,3,2,74,0
