id,fund_manager,fund,fund_all_names,fund_tickers_sec,classes,e_vote,s_vote,g_vote,e_support,s_support,g_support,e_support_total,s_support_total,g_support_total,fund_is_esg
364,0,iShares MSCI Developed World Index Fund,"['BlackRock MSCI World Index Fund', 'iShares MSCI Developed World Index Fund']",['BGIWEA2'],['Class K' 'Institutional'],180,372,355,6.111111111,1.344086022,17.74647887,11,5,63,0
365,0,iShares Developed Real Estate Index Fund,"['BlackRock Developed Real Estate Index Fund', 'iShares Developed Real Estate Index Fund']",['BKRDX'],['Class K' 'Institutional' 'Investor A'],1,2,7,0,0,28.57142857,0,0,2,0
366,0,iShares Total U.S. Stock Market Index Fund,"['BlackRock Total Stock Market Index Fund', 'iShares Total U.S. Stock Market Index Fund']",['BASMX'],['Class K' 'Institutional' 'Investor A'],143,355,427,6.293706294,3.38028169,26.2295082,9,12,112,0
367,0,iShares Russell Small/Mid-Cap Index Fund,"['BlackRock Small/Mid Cap Index Fund', 'iShares Russell Small/Mid-Cap Index Fund']",['BASMAX'],['Class K' 'Institutional' 'Investor A'],19,6,44,0,0,52.27272727,0,0,23,0
368,0,BlackRock Impact U.S. Equity Fund,['BlackRock Impact U.S. Equity Fund'],['BIRAX'],['Class K' 'Institutional' 'Investor A' 'Investor C'],65,208,204,3.076923077,0.961538462,19.11764706,2,2,39,0
369,0,BlackRock Emerging Markets Equity Strategies Fund,['BlackRock Emerging Markets Equity Strategies Fund'],['BEFAX'],['Class K' 'Institutional' 'Investor A' 'Investor C'],0,0,1,,,0,0,0,0,0
370,0,iShares Edge MSCI Multifactor USA Index Fund,"['BlackRock Multifactor USA Index Fund', 'iShares Edge MSCI Multifactor USA Index Fund']",['BKMFX'],['Class K' 'Institutional' 'Investor A' 'Investor C'],10,28,42,10,0,14.28571429,1,0,6,0
371,0,iShares Edge MSCI Multifactor Intl Index Fund,"['BlackRock Multifactor International Index Fund', 'iShares Edge MSCI Multifactor Intl Index Fund']",['BIIMX'],['Class K' 'Institutional' 'Investor A' 'Investor C'],0,2,2,,0,0,0,0,0,0
372,0,iShares Edge MSCI Min Vol USA Index Fund,"['BlackRock Min Vol USA Index Fund', 'iShares Edge MSCI Min Vol USA Index Fund']",['BIMVX'],['Class K' 'Institutional' 'Investor A' 'Investor C'],20,109,85,5,3.669724771,17.64705882,1,4,15,0
373,0,iShares Edge MSCI Min Vol EAFE Index Fund,"['BlackRock Min Vol EAFE Index Fund', 'iShares Edge MSCI Min Vol EAFE Index Fund']",['BIEVX'],['Class K' 'Institutional' 'Investor A' 'Investor C'],1,2,3,0,0,0,0,0,0,0
374,0,iShares Edge MSCI USA Momentum Factor Index Fund,['iShares Edge MSCI USA Momentum Factor Index Fund'],['MTUM'],['Class K' 'INSTITUTIONAL'],3,31,30,0,0,26.66666667,0,0,8,0
375,0,iShares Edge MSCI USA Quality Factor Index Fund,['iShares Edge MSCI USA Quality Factor Index Fund'],['QUAL'],['Class K' 'INSTITUTIONAL'],9,30,22,11.11111111,0,4.545454545,1,0,1,0
376,0,iShares Edge MSCI USA Size Factor Index Fund,['iShares Edge MSCI USA Size Factor Index Fund'],[],['Class K' 'INSTITUTIONAL'],52,121,127,9.615384615,3.305785124,19.68503937,5,4,25,0
377,0,iShares Edge MSCI USA Value Factor Index Fund,['iShares Edge MSCI USA Value Factor Index Fund'],[],['Class K' 'INSTITUTIONAL'],16,31,47,6.25,0,8.510638298,1,0,4,0
379,0,BlackRock Emerging Markets Fund,"['BLACKROCK GLOBAL EMERGING MARKETS FUND, INC.', 'BLACKROCK EMERGING MARKETS FUND, INC.']",['MADCX'],['Institutional' 'Investor A' 'Investor B' 'Investor C'],0,0,4,,,25,0,0,1,0
380,1,Vanguard Emerging Markets Stock Index Fund,['Vanguard Emerging Markets Stock Index Fund'],"['VEIEX', 'VEMAX', 'VERSX', 'VEMIX', 'VWO', 'VEMRX']","['Investor Shares' 'Admiral Shares' 'Institutional Shares'
 'Institutional Plus Shares' 'Signal Shares' 'ETF Shares']",0,0,1,,,100,0,0,1,0
381,1,Vanguard European Stock Index Fund,['Vanguard European Stock Index Fund'],"['VEUSX', 'VESIX', 'VGK', 'VESSX', 'VEURX', 'VEUPX']","['Admiral Shares' 'Institutional Shares' 'ETF Shares'
 'Institutional Plus Shares' 'Signal Shares' 'Investor Shares']",1,3,0,50,16.66666667,,0.5,0.5,0,0
382,1,Vanguard Pacific Stock Index Fund,['Vanguard Pacific Stock Index Fund'],"['VPACX', 'VPADX', 'VPKIX', 'VPL', 'VPASX', 'VPAPX']","['Investor Shares' 'Admiral Shares' 'Institutional Plus Shares'
 'Signal Shares' 'Institutional Shares' 'ETF Shares']",37,16,18,0,0,16.66666667,0,0,3,0
383,1,Vanguard FTSE All-World ex-US Index Fund,['Vanguard FTSE All-World ex-US Index Fund'],"['VFWIX', 'VEU', 'VFWSX', 'VFWPX', 'VFWAX']","['ETF Shares' 'Admiral Shares' 'Investor Shares'
 'Institutional Plus Shares' 'Institutional Shares']",28,38,20,0,2.631578947,5,0,1,1,0
384,1,Vanguard Total World Stock Index Fund,['Vanguard Total World Stock Index Fund'],"['VT', 'VTWIX', 'VTWSX', 'VTWAX']",['ETF Shares' 'Institutional Shares' 'Investor Shares'],107,225,333,19.62616822,12.88888889,22.52252252,21,29,75,0
386,1,Real Estate Index Portfolio,"['REIT Index Portfolio', 'Real Estate Index Portfolio']",[],REIT Index Portfolio,0,0,1,,,100,0,0,1,0
387,1,Total Stock Market Index Portfolio,['Total Stock Market Index Portfolio'],[],Total Stock Market Index Portfolio,0,1,0,,0,,0,0,0,0
388,1,Capital Growth Portfolio,['Capital Growth Portfolio'],[],Capital Growth Portfolio,37,148,153,12.16216216,21.28378378,12.41830065,4.5,31.5,19,0
389,1,Equity Income Portfolio,['Equity Income Portfolio'],[],Equity Income Portfolio,34,52,64,20.58823529,22.11538462,7.8125,7,11.5,5,0
390,1,Mid-Cap Index Portfolio,['Mid-Cap Index Portfolio'],[],Mid-Cap Index Portfolio,21,51,87,47.61904762,21.56862745,27.5862069,10,11,24,0
391,1,Vanguard Institutional Index Fund,['Vanguard Institutional Index Fund'],"['VINIX', 'VIIIX']",['Institutional Plus Shares' 'Institutional Shares'],450,1083,1498,22.77777778,21.6066482,16.42189586,102.5,234,246,0
392,0,BlackRock Utilities & Telecommunications Fund,"['BLACKROCK UTILITIES & TELECOMMUNICATIONS FUND, INC.']",['MBGUX'],"['Institutional' 'Investor B' 'Investor C' 'Investor A' 'Investor B1'
 'Investor C1']",22,15,67,4.545454545,0,47.76119403,1,0,32,0
394,0,BlackRock Capital Appreciation Fund,"['BLACKROCK FUNDAMENTAL GROWTH FUND, INC.', 'BLACKROCK CAPITAL APPRECIATION FUND, INC.']",['MAFGX'],"['Investor A' 'Investor B' 'Investor C' 'Institutional' 'Class R'
 'BlackRock Shares']",64,201,228,0,1.492537313,41.66666667,0,3,95,0
395,1,Vanguard Balanced Index Fund,['VANGUARD BALANCED INDEX FUND'],"['VBASX', 'VBINX', 'VBIAX', 'VBAIX']",['INSTITUTIONAL SHARES' 'Signal Shares' 'ADMIRAL SHARES' 'INVESTOR SHARES'],506,1064,1791,25.29644269,24.81203008,23.61809045,128,264,423,0
396,1,Vanguard Managed Payout Fund,"['Vanguard Managed Payout Growth and Distribution Fund', 'Vanguard Managed Payout Fund']",['VPGDX'],Investor Shares,0,4,0,,0,,0,0,0,0
397,1,Vanguard S&P 500 Growth Index Fund,['Vanguard S&P 500 Growth Index Fund'],"['VSPGX', 'VOOG']",['Institutional Shares' 'ETF Shares'],159,433,525,16.35220126,18.93764434,17.42857143,26,82,91.5,0
398,1,Vanguard S&P Mid-Cap 400 Growth Index Fund,['Vanguard S&P Mid-Cap 400 Growth Index Fund'],"['IVOG', 'VMFGX']",['ETF Shares' 'Institutional Shares'],7,5,26,28.57142857,30,30.76923077,2,1.5,8,0
399,1,Vanguard S&P Small-Cap 600 Index Fund,['Vanguard S&P Small-Cap 600 Index Fund'],"['VIOO', 'VSMSX']",['ETF Shares' 'Institutional Shares'],0,1,10,,0,60,0,0,6,0
400,2,LVIP Blended Large Cap Growth Managed Volatility Fund,"['LVIP Janus Capital Appreciation Fund', 'LVIP UBS Large Cap Growth RPM Fund', 'LVIP UBS Large Cap Growth Managed Volatility Fund', 'LVIP Blended Large Cap Growth Managed Volatility Fund']",[],['Service Class' 'Standard Class'],6,32,30,0,0,66.66666667,0,0,20,0
401,2,LVIP BlackRock Global Real Estate Fund,"['LVIP Cohen & Steers Global Real Estate Fund', 'LVIP Clarion Global Real Estate Fund', 'LVIP BlackRock Global Real Estate Fund']",[],['Service Class' 'Standard Class'],1,4,20,0,0,75,0,0,15,0
402,0,BlackRock Mid Cap Dividend Fund,"['BlackRock Mid Cap Value Opportunities Fund', 'BlackRock Mid Cap Dividend Fund']",['MARFX'],['Class R' 'Institutional' 'Investor A' 'Investor B' 'Investor C'],36,51,120,2.777777778,1.960784314,45,1,1,54,0
403,0,BlackRock Advantage Global Fund,"['BLACKROCK GLOBAL SMALLCAP FUND, INC.', 'BLACKROCK ADVANTAGE GLOBAL FUND, INC.']",['MAGCX'],"['Class K' 'Class R' 'Institutional' 'Investor A' 'Investor B'
 'Investor C']",26,117,168,3.846153846,2.564102564,26.78571429,1,3,45,0
404,1,Vanguard Tax-Managed Balanced Fund,['Vanguard Tax-Managed Balanced Fund'],['VTMFX'],Admiral Shares,343,773,1153,30.17492711,25.03234153,16.43538595,103.5,193.5,189.5,0
405,1,Vanguard Tax-Managed Small-Cap Fund,['Vanguard Tax-Managed Small-Cap Fund'],"['VTMSX', 'VTSIX']",['Admiral Shares' 'Institutional Shares'],4,5,26,25,20,46.15384615,1,1,12,0
409,0,iShares MSCI Japan ETF,"['iShares MSCI Japan Index Fund', 'iShares MSCI Japan ETF']",['EWJ'],iShares MSCI Japan Index Fund,3,4,16,0,0,6.25,0,0,1,0
413,0,iShares MSCI Canada ETF,"['iShares MSCI Canada Index Fund', 'iShares MSCI Canada ETF']",['EWC'],iShares MSCI Canada Index Fund,4,2,33,0,0,0,0,0,0,0
415,0,iShares MSCI France ETF,"['iShares MSCI France Index Fund', 'iShares MSCI France ETF']",['EWQ'],iShares MSCI France Index Fund,0,0,1,,,0,0,0,0,0
416,0,iShares MSCI Eurozone ETF,"['iShares MSCI EMU Index Fund', 'iShares MSCI EMU ETF', 'iShares MSCI Eurozone ETF']",['EZU'],iShares MSCI EMU Index Fund,0,0,1,,,0,0,0,0,0
421,1,Vanguard Strategic Equity Fund,['Vanguard Strategic Equity Fund'],['VSEQX'],Investor Shares,2,15,18,25,20,50,0.5,3,9,0
422,1,Vanguard Capital Opportunity Fund,['Vanguard Capital Opportunity Fund'],"['VHCOX', 'VHCAX']",['Investor Shares' 'Admiral Shares'],55,158,171,20.90909091,20.25316456,19.29824561,11.5,32,33,0
